Group,Analytical_Thinking,Neutral_Score,Manipulative_Score,Age,Gender,Education,Political_Affiliation,Minority_Status,Bullshit_Receptivity,Conspiracy_Belief,Discernment_Score
Control,4.150862017209574,4.736684640855466,0.9596446714306275,70,Male,High School,Republican,Yes,6.578548717925946,7.975138352523938,5.852470978029626
Treatment,4.532422836410465,5.5217896735281355,0.09639077278339814,24,Male,High School,Independent,Yes,3.7261503510574445,3.9085972553153523,8.824716028052585
Treatment,6.154937653747741,3.2794611644828215,2.944544124729882,54,Female,Doctorate,Republican,No,5.792393814839649,3.1932435013351044,4.951120280063745
Control,4.0042097808271,5.994619771738543,3.3288394494739584,32,Female,Bachelor's,Republican,Yes,6.667384637350459,6.132439252012835,4.667885212678135
Control,6.075867929550587,5.419240556352026,1.5416431522613734,54,Male,Master's,Republican,No,1.747271054527332,2.9244483437951105,6.915531368865946
Control,4.752351617136057,5.940709031932393,7.609215427253357,70,Male,Doctorate,Democrat,Yes,4.769533197823955,6.437416137704271,0.7076694132470642
Control,3.4462624775693813,9.434008559327872,4.346539207498158,18,Female,Bachelor's,Other,Yes,3.4032471428439606,4.764940061725337,6.8106005906144045
Control,5.790947898789019,7.227466820924195,2.425410067370145,62,Female,Doctorate,Independent,Yes,0,3.337660368633126,7.697530702948559
Treatment,4.2927836189065784,2.3413321058061176,-0.015169623156757739,36,Male,Bachelor's,Republican,No,5.653348934390683,5.917185062972804,5.576089443142809
Treatment,5.8276531513619405,5.9240022917586295,0.49525393432747333,24,Male,Master's,Republican,No,3.3170000381689375,4.041089842659891,9.799488220952611
Control,4.651933461664632,7.112684478338068,6.655067163533939,29,Male,High School,Independent,No,4.018507947039345,3.320590356600953,2.7835840456364447
Control,4.963299576438337,8.05766440032546,4.412338137997654,43,Female,Master's,Independent,No,0,1.249790381628201,6.1269760505469755
Control,5.471806031464442,2.2870473987035487,-3.7769698737069852,21,Male,Bachelor's,Democrat,No,2.978957808835752,3.806896831084997,8.799920288142754
Control,4.948180236291953,4.977690310911912,4.913345786868734,62,Female,High School,Republican,No,2.3026852262350044,2.216792087893813,2.5384346421891544
Control,5.561527051814067,2.997139566716181,0.32563727349936,55,Female,High School,Republican,Yes,6.889023024807994,3.041618507105414,5.452265819123854
Control,4.944723639369829,2.0226527360051563,4.415316248108645,20,Male,High School,Democrat,Yes,2.28803623850383,4.389464965283752,0.07969830758142527
Control,3.6281179928078933,4.803815821333149,-0.6168939028022038,64,Female,Bachelor's,Independent,Yes,2.597410821453881,1.2814293263127525,7.2347687205393
Control,3.862820198033539,0.0680928078358436,2.136260433327723,30,Female,Master's,Republican,No,4.311442471727299,4.2927688003685764,-0.13675752647510997
Treatment,2.2678121796385073,4.1233749772686545,0.30487611544987336,49,Other,Bachelor's,Democrat,No,5.040457827111558,2.7412890323101644,5.519357996547662
Control,3.9173832338113144,-0.2015410793825998,3.495534349012117,37,Male,Bachelor's,Republican,No,5.910981113455572,1.6209600266249273,-1.7383838114890597
Treatment,4.771227961110188,4.489102694573109,2.6426916063026358,18,Male,High School,Republican,No,4.658764264574801,3.2312218180499723,5.424832059103115
Treatment,3.278359927913346,6.092161678796929,1.4155400667151388,56,Female,Bachelor's,Democrat,Yes,7.595344629288998,4.942912450581167,7.1353915580168
Control,5.523914469264621,2.705118621633963,3.422374711432634,36,Female,Bachelor's,Independent,No,3.1177691623954353,5.534306072694084,2.0447011448336396
Treatment,5.23640751070622,4.016226279079502,-0.3677776010210094,70,Male,Bachelor's,Republican,No,3.9748420318763324,1.063231183993616,8.311309513130176
Treatment,7.151149105128385,3.1552246318745367,0.794452604400435,18,Male,High School,Other,Yes,0.6966086369248283,1.326022253097257,7.724133856320391
Treatment,3.99636906590165,4.562427786143251,-0.08434428266699734,44,Male,Master's,Independent,No,4.665449005983968,3.0273795472499305,7.644048868236486
Treatment,4.742689809343421,6.722892929446777,0.6122079374110246,46,Female,High School,Democrat,No,5.475662435376899,2.9994975321416857,9.667702349043317
Control,4.597154075518776,5.121028895670437,0.35408340771286495,36,Male,High School,Republican,No,6.382713115555235,2.690634252881237,7.065522525716961
Treatment,6.1526700535593655,4.16616122907922,3.9605219934805085,63,Female,Bachelor's,Democrat,No,3.040585985390653,3.585191232781193,4.820141775768236
Control,6.383447212961308,5.290548531967837,5.720709605161918,69,Male,Doctorate,Democrat,No,7.5820534070216326,4.379361979880233,2.7615625332865728
Control,4.10130935084835,2.1789698985198114,5.674932939401147,46,Male,Bachelor's,Democrat,No,3.172626144441079,5.5708168223463135,-1.4453083654571608
Treatment,3.4636367814900555,4.364309256403006,-1.6129582249216516,37,Female,Bachelor's,Democrat,No,6.25555261911485,3.7851580274848575,8.574995067442199
Control,4.371327874377954,5.200633071299608,3.7668230463763206,52,Female,Bachelor's,Independent,No,5.346656136243511,7.20840506105219,3.6194739621122642
Treatment,6.707395926716885,6.3724655988251255,1.9900444431924773,43,Female,Bachelor's,Democrat,No,0,5.894291550417129,9.412968100670312
Control,2.202388552288281,4.233084580401285,7.106053168497967,65,Female,Bachelor's,Republican,No,1.8032876132304674,7.3711278280156645,-1.7717743119525413
Control,6.366279483451132,5.923423996662888,4.101130664769931,19,Male,High School,Republican,No,5.409344411815796,6.603859835136284,5.005433073618523
Control,6.672078061269119,6.443885790207787,2.09424413871462,37,Male,Bachelor's,Republican,No,2.061986840701668,4.319111021517066,7.685680682127726
Treatment,3.3037297325913038,-0.7857123174616136,1.402303397545015,62,Female,High School,Independent,No,4.1136253862331476,0.4494060358040368,0.2897815844368492
Control,3.9860726458550415,2.242601753094054,4.201330082225262,21,Female,High School,Republican,No,4.208448595358632,3.1548911050130024,0.034307993796312886
Control,3.6140178069255033,2.7159300617395568,2.135414526410237,54,Male,Master's,Independent,Yes,3.5881239847622663,1.094144382111499,2.387524438792071
Control,5.1300232694153225,2.0553577212135306,4.927382390649477,26,Male,High School,Independent,No,3.549321005044198,3.9610274398261605,-0.3070130347282851
Treatment,4.922558021408942,4.531636430296732,1.4554104729254258,61,Other,High School,Democrat,No,1.8562487756873476,4.1909587701387645,6.768144473428013
Treatment,7.589208263476128,3.0231676747697627,2.030126828274649,54,Male,Bachelor's,Democrat,No,2.5191961794699265,2.6811358141268684,6.68494704410221
Treatment,3.4200367605907402,5.6550766775508805,0.9968712273299531,56,Male,High School,Republican,No,7.832998798122482,4.7028745325359695,7.223233020663983
Treatment,5.614342792510261,5.457885357907291,-1.3605576273353712,67,Female,High School,Independent,No,1.145714624768925,4.028221790475061,11.029200079625358
Control,6.197898235974221,7.347688349177079,3.3777628858652866,42,Female,Bachelor's,Republican,No,4.587726949741684,4.01112007936795,7.068874581298903
Treatment,4.208418807616614,4.368661786568504,-0.6499393790822725,44,Male,Bachelor's,Republican,No,4.444433178163439,3.3541166542672674,8.174915271363236
Treatment,4.440011294922405,6.0684229276901025,-0.06480668325770966,26,Female,Doctorate,Democrat,No,4.2596555977056605,5.272106306531119,9.463238082139616
Control,4.941951734295976,3.6381714146826383,2.9944991811951094,36,Female,Bachelor's,Independent,Yes,2.8318503653565026,2.6725135781823934,3.1146481006355167
Treatment,2.6606554530494346,6.618382658611738,1.812187822274334,45,Male,High School,Democrat,No,1.693136297345256,2.908829419674475,6.80168642612448
Treatment,6.395708615995976,2.854824949334793,3.079100159035378,24,Female,High School,Democrat,No,5.714304108115732,4.426508754702382,4.572506252296397
Treatment,7.0399973851515565,5.94103562929466,0.1878086050918788,62,Male,Bachelor's,Independent,No,0.7607806088777695,4.693009082623615,11.033225063066448
Control,3.5989868918863523,5.354802156957206,1.8532364702965511,66,Female,Doctorate,Democrat,No,3.8037175412020985,6.784639835656927,5.3010591326038305
Treatment,6.381035568960959,5.489655810151724,3.3565455213774738,50,Female,High School,Democrat,No,2.6430631935332265,6.829743934933081,6.91888696549497
Control,7.1409605324613645,5.655446206635251,2.4678969778831346,69,Female,Bachelor's,Democrat,No,4.063828993512815,4.896004456449346,6.758029494982798
Control,5.435917218142081,6.715105815719171,1.5827056308107192,25,Female,Bachelor's,Democrat,Yes,0.8357203782705431,4.921013316340017,7.850358793979492
Control,5.632368751013811,7.067730558486781,6.316060083137163,45,Male,Bachelor's,Republican,No,0.9028138106632193,2.9499309918071837,3.5678548508565235
Control,6.995351660237452,4.646294820425335,0.7178533904318707,33,Male,Bachelor's,Democrat,No,4.796174438726869,5.939657014473243,7.42611726011219
Control,5.349627923167776,3.832777495728674,3.4438839165806314,52,Male,Master's,Democrat,Yes,5.409102273927434,2.312608129842234,3.0637075407319307
Control,4.588084335178141,7.060057424526738,4.038523500033154,38,Female,Doctorate,Independent,No,1.6672247909978282,3.330449528037802,5.3155760920826545
Control,7.544972103354864,4.758417845221772,3.159107841395458,54,Female,Bachelor's,Republican,No,3.5966753150749082,6.779577148954921,5.371796055503746
Treatment,4.581745137185683,2.011617404980543,2.0922639982559,55,Other,High School,Democrat,No,2.610849004428303,5.485029180513169,3.355662259613905
Treatment,3.731358146265574,3.8507510320392435,-1.3369390613150303,22,Female,Master's,Republican,No,0.7748738640593067,4.612461205892825,7.986208703053454
Control,1.3655916297551727,7.223944002836227,-0.09822811592808556,60,Male,Bachelor's,Republican,No,4.821151520966505,2.1068872177112423,8.004967933641899
Treatment,5.8843662746538845,3.022936787764051,-0.7062191630174828,55,Female,High School,Democrat,No,4.765384666332399,1.680137630653646,8.142430656771946
Treatment,6.567786260514845,4.920673252252203,0.33729905232812485,23,Female,High School,Republican,Yes,4.3137611973614565,3.4074563016857553,9.509213895310213
Control,7.951535759760241,6.020783693891567,1.1047590022704328,64,Female,Bachelor's,Republican,Yes,4.052858896455462,2.377373380886867,8.891792571501254
Control,4.527948140624153,-0.8948430403053038,3.0017289549714796,30,Male,Master's,Republican,No,5.840358426293837,3.880931697105296,-1.6325979249647071
Treatment,5.040164982750386,5.932662865052228,1.81075952958889,67,Female,Bachelor's,Democrat,No,2.3913658737760484,7.25888288535776,7.902027072526127
Treatment,3.035999849880177,1.3354287094686956,3.750184120946172,65,Female,Bachelor's,Republican,No,3.2867311935064976,6.081181991665911,-0.13775552406734404
Treatment,6.543634144530925,2.909110181281693,0.9903256142178399,44,Male,Bachelor's,Democrat,No,4.684907979530164,6.877586687736754,6.826510175462046
Control,4.402538312019338,4.585401545785771,1.7050932991837198,58,Male,Master's,Independent,Yes,1.8163882659459922,4.735118121626669,5.081577402611721
Treatment,3.209611055790175,7.628086176684968,2.523955461914233,66,Male,High School,Democrat,No,5.855386108487979,1.8240980892855618,7.511339006613365
Control,5.049106673877378,5.3154061628513745,3.859523887635533,41,Male,Doctorate,Republican,Yes,2.1436664017488978,1.4498089967533447,3.9804356121545306
Treatment,5.044390354497488,6.276429450452879,3.7823499082363954,50,Female,High School,Independent,No,1.943326855515917,5.075759666784377,6.2773723080896
Control,9.039357299655062,1.8842281967764767,6.150588009826227,18,Male,Master's,Democrat,No,3.6801225881697404,5.280153206608342,0.25331883677778144
Control,2.407534137437509,6.352891100626741,5.4558400418988935,57,Male,High School,Republican,No,2.9776829251639274,3.0993134204694437,2.100818127446602
Treatment,5.412338819553759,6.744447458475621,-1.4575247643184426,37,Female,Doctorate,Democrat,No,0.9901636950625967,7.675363597061171,12.261226337459384
Treatment,4.447366471411651,6.704860848027631,-0.7928777224527739,28,Female,High School,Democrat,No,4.565903212715103,5.023208924463829,10.833263424039142
Control,4.916630685175792,3.218411031406966,5.675843740387799,40,Male,High School,Republican,No,3.064105045589191,4.1864046484160164,8.826336070635321e-4
Control,4.850787270813831,3.855478386943714,4.363772155967526,33,Male,Bachelor's,Republican,No,1.4432953132380932,2.634575814138871,1.9170998663831038
Control,4.474806211698603,8.436068803038278,4.181438437555323,37,Female,High School,Other,Yes,6.608127133135895,2.9624270209381978,6.492033471332257
Control,5.002097354107442,4.050109249778424,3.493679077536576,35,Female,High School,Republican,No,5.206310540231629,2.7963262978617913,3.0574788492955687
Control,4.658166991965291,2.934060405062519,6.503293716593413,20,Female,Master's,Democrat,Yes,5.191300253061633,1.3237687138663783,-1.2401498155482487
Treatment,5.314618707068427,2.787966059902418,1.5370885271011856,18,Female,High School,Republican,No,3.6220999121458997,2.9281916325521697,5.236841563102553
Treatment,4.734895026877944,5.292426091803899,2.4173910652315236,31,Male,Bachelor's,Republican,No,3.9635067038050287,6.765579498480291,6.426206296730833
Treatment,4.059006652324804,4.024480613947871,0.37044100190854,28,Female,Master's,Democrat,No,5.993718757934467,3.691776111556414,6.698294601282933
Control,4.078672324713219,7.25855867632887,-0.13264836785305878,43,Female,High School,Democrat,No,3.5967037794985663,4.044360556723943,9.430543206538538
Control,3.9260563776435533,4.590685336103928,-0.7408127250188201,35,Female,Bachelor's,Democrat,No,3.920128058364387,3.3976803971436667,7.294526249944525
Treatment,5.318008808560962,3.9795496092501437,-1.1017262061376478,70,Female,High School,Republican,Yes,5.795710836440783,3.4034980729742315,9.069782421808513
Control,5.565283321023365,6.0392820620396055,4.427936442163189,21,Male,Master's,Republican,No,4.923342769749551,5.003439841025996,4.3939872803880995
Control,6.653855667872261,2.299522070124227,5.456625338960208,64,Female,Bachelor's,Independent,No,3.0612820581042763,8.251726180707433,0.1698245651001491
Treatment,4.35028775130476,5.491562866432914,3.6325158440541707,44,Female,High School,Democrat,No,1.976158907516464,4.542180613731452,5.1217628358573135
Control,9.069233386825587,8.572105122009901,1.9484763769140854,54,Female,Master's,Independent,Yes,4.608469484698753,5.447219887417575,11.15824543850861
Control,5.270344408614214,7.184250553445427,1.764408170561497,65,Female,Bachelor's,Republican,Yes,3.5720605050954553,2.9835196594032283,8.055014587191037
Control,4.535960876735418,3.524630869245505,3.203825625048189,56,Male,High School,Democrat,No,2.6364150988902217,0.4227129694767737,2.588785682565025
Control,6.792493625936564,3.669271655665672,4.497034474145073,33,Male,Doctorate,Other,No,5.8937137762822065,0.32387671969427423,2.5684839944888815
Control,6.53063002898981,4.159854009307348,6.409593567572866,41,Male,High School,Republican,No,3.219286433319473,2.340029142417765,1.0155754562293868
Control,6.427836567769661,5.165687289072524,0.8833809657367677,51,Male,Bachelor's,Republican,Yes,0,6.70386078204962,7.4962246072205865
Treatment,4.481043700853504,2.993779620750429,-3.3172484374327693,32,Female,Bachelor's,Republican,No,5.269955616938113,5.373706354155838,9.671810833823326
Control,6.740546269711139,2.0605694739502476,4.825081433512464,27,Male,Bachelor's,Republican,Yes,1.6627586725618935,5.758447359473911,0.6057611752933529
Treatment,4.880678840120665,5.4083455677302785,-1.1019903663364639,37,Female,Master's,Democrat,No,0.6895172509673904,2.4968367874410458,10.170845064157241
Treatment,4.324294796198961,4.897600574113006,1.482940680021921,26,Male,Master's,Republican,No,5.00745914213962,3.3635463313501264,6.657880991240306
Treatment,7.017085908901411,8.877279055059125,3.62938320332806,34,Female,Bachelor's,Democrat,No,3.5331791957073606,3.6520103744825954,10.510710283407123
Treatment,4.812647385114451,3.3246263795156312,-0.3766287556189747,27,Male,High School,Independent,No,0.29469340475775097,3.5015675834242246,7.310740673970444
Control,5.14688295658483,6.852028845076984,4.361083420191025,31,Female,Bachelor's,Republican,Yes,8.342435889100141,3.3880657245983876,5.064386903178374
Treatment,3.123810799061162,6.227264862413349,3.1145868840525446,29,Female,Doctorate,Independent,No,2.012527316738547,5.6113423540918195,5.455536077656676
Treatment,4.176837358527358,6.049321382702861,4.084324288876031,59,Male,High School,Republican,No,6.990411737853348,2.4105405111779135,5.097625112722349
Control,3.8184573259439114,5.5377643273062676,4.240122888594018,60,Female,Bachelor's,Democrat,No,5.652447942526098,0.7753737240126961,3.206870101684205
Control,1.4719751895972788,6.385486304305424,3.759497610449446,37,Female,High School,Republican,No,2.7593144253523647,3.944620789750477,3.361976288654617
Treatment,3.1838505332598475,7.463249971574082,2.772324791417395,58,Other,Bachelor's,Democrat,No,1.3575422403030846,3.2753740445237884,7.078813080101573
Control,5.782333841347809,4.1128638215714135,5.428384668136607,63,Male,High School,Democrat,No,4.228402699215041,5.587904343331525,1.575646074108711
Treatment,5.1928584202330255,4.034833295765911,4.659132589428341,59,Male,High School,Independent,Yes,2.9244262180825054,4.961598521889141,3.270344521512339
Treatment,4.3739898205527314,2.9306941607213943,2.3258566426366114,26,Female,Bachelor's,Democrat,No,2.26096205922035,4.510712966977,3.8853298834993315
Control,5.836509874094752,4.918535634967107,4.155996687708823,39,Male,High School,Democrat,Yes,4.048238679295587,4.7494398205044135,3.6807938843056593
Treatment,4.721585869607558,3.6041696756799055,2.0462190830852585,48,Female,High School,Other,No,3.73951099065485,2.300332690080492,5.099139994800315
Control,6.579528907681876,6.396502188725469,4.1983847354353205,29,Male,Bachelor's,Republican,No,6.585790862940381,2.5421786752828366,5.4878819071310865
Control,3.586251267944962,7.193465321847281,0.7755928753606898,38,Female,High School,Democrat,No,2.220598749757097,5.336244083629651,8.210998080459072
Control,4.562584221075556,3.684704453662592,3.8721402982199855,38,Female,High School,Democrat,Yes,5.701517721873208,8.815642835449221,2.0938562659803845
Control,3.982752747184569,6.285087538117962,2.017657168688456,20,Male,Bachelor's,Independent,No,7.617123009840693,7.093678526140234,6.25880674302179
Control,4.638272502509392,4.557329248768062,2.523340836618171,22,Female,Bachelor's,Democrat,No,4.383460775585943,2.256328199094998,4.3531246634045875
Control,6.50410956154674,5.736307987660887,-0.3111034018587788,44,Female,Bachelor's,Republican,Yes,5.027987620268209,4.845007307230108,9.299466170293037
Control,5.184449121251767,6.075389248749251,5.91343517097253,54,Male,Bachelor's,Democrat,No,1.6282971876793382,2.2122952287073403,2.754178638402604
Treatment,5.010907842808098,5.831812140135071,-0.773553592987946,65,Male,Master's,Democrat,No,4.499766099391166,2.066002912960761,10.36354661522909
Control,6.288457548878577,6.795625931962349,1.6039930870836319,22,Female,High School,Republican,No,4.507370884671741,4.525634767534356,8.335861619318006
